Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration,Year,num_downloads
10 Fanfares nouvelles,"Rollé, Émile","https://imslp.org/wiki/10_Fanfares_nouvelles_(Rollé,_Émile)",3 horns (trompes [de chasse]),C major (F major if performed on modern horns),romantic,,,romantic,,,79
"10 Fantaisies brillantes et originales, Op.188","Mayer, Charles","https://imslp.org/wiki/10_Fantaisies_brillantes_et_originales,_Op.188_(Mayer,_Charles)",piano,,romantic,,,romantic,,,1439
"10 Etudes in First Position, Op.24","Nölck, August","https://imslp.org/wiki/10_Etudes_in_First_Position,_Op.24_(Nölck,_August)","cello, piano",,romantic,,,romantic,,,3268
"10 Fantasistykker, Op.36","Backer-Grøndahl, Agathe","https://imslp.org/wiki/10_Fantasistykker,_Op.36_(Backer-Grøndahl,_Agathe)",piano,,romantic,,,romantic,,,2021
"10 Etüden, Op.11","Szuk, Leopold","https://imslp.org/wiki/10_Etüden,_Op.11_(Szuk,_Leopold)","2nd cello ad lib., cello",,romantic,,,romantic,,,53
"10 Etüden, Op.16","Werner, Josef","https://imslp.org/wiki/10_Etüden,_Op.16_(Werner,_Josef)","2nd cello ad lib., cello",,romantic,,,romantic,,,547
"10 Fantasistykker, Op.39","Backer-Grøndahl, Agathe","https://imslp.org/wiki/10_Fantasistykker,_Op.39_(Backer-Grøndahl,_Agathe)",piano,,romantic,,,romantic,,,1153
10 Fest-Præludier for orgel,"Christensen, Christen","https://imslp.org/wiki/10_Fest-Præludier_for_orgel_(Christensen,_Christen)",organ,,classical,,1930-50 ca.,classical,15,1930,0
"10 Federzeichnungen, Op.47","Kirchner, Theodor","https://imslp.org/wiki/10_Federzeichnungen,_Op.47_(Kirchner,_Theodor)",piano,,romantic,,,romantic,,,1019
"10 Feierliche Präludien für die heilige Weihnachtszeit, Op.189","Gruber, Josef","https://imslp.org/wiki/10_Feierliche_Präludien_für_die_heilige_Weihnachtszeit,_Op.189_(Gruber,_Josef)",organ,,romantic,,,romantic,,,31
"10 Five-Finger Pieces, Op.74","Cui, César","https://imslp.org/wiki/10_Five-Finger_Pieces,_Op.74_(Cui,_César)",piano 4-hands,,romantic,,1906 ca.,romantic,,1906,401
"10 Fiedel-Lieder, Op.98","Huber, Hans","https://imslp.org/wiki/10_Fiedel-Lieder,_Op.98_(Huber,_Hans)","piano, voice",,romantic,,,romantic,,,39
10 Flute Sonatas,"Fischer, Johann Christian","https://imslp.org/wiki/10_Flute_Sonatas_(Fischer,_Johann_Christian)","continuo, flute",,classical,,,classical,,,411
10 Flute Sonatas,"Ræhs, Martin","https://imslp.org/wiki/10_Flute_Sonatas_(Ræhs,_Martin)","continuo, flute",Various,baroque,,,baroque,,,2288
10 Frie orgelkompositioner,"Palsgård, André","https://imslp.org/wiki/10_Frie_orgelkompositioner_(Palsgård,_André)",organ,,classical,,1988-99,classical,12,1988,79
10 Fugues,"Albrechtsberger, Johann Georg","https://imslp.org/wiki/10_Fugues_(Albrechtsberger,_Johann_Georg)","2 violins, cello, viola",,classical,,,classical,,,160
10 Galanterie Stücke,"Bühler, Franz","https://imslp.org/wiki/10_Galanterie_Stücke_(Bühler,_Franz)","organ, piano",,classical,,,classical,,,688
10 Fun Duets for Flute and Clarinet,"Gerhart, Ned","https://imslp.org/wiki/10_Fun_Duets_for_Flute_and_Clarinet_(Gerhart,_Ned)","clarinet, flute",,modern,,2025,modern,,2025,345
"10 German Songs, Op.11a","Kuhlau, Friedrich","https://imslp.org/wiki/10_German_Songs,_Op.11a_(Kuhlau,_Friedrich)",voice and piano,,classical,,1813,romantic,,1813,760
"10 Gesänge für gemischten Chor, Op.198","Raff, Joachim","https://imslp.org/wiki/10_Gesänge_für_gemischten_Chor,_Op.198_(Raff,_Joachim)",a cappella mixed chorus,see below,romantic,,1853–1863 in Wiesbaden,romantic,,1853,246
"10 Gesänge für Männerchor, Op.195","Raff, Joachim","https://imslp.org/wiki/10_Gesänge_für_Männerchor,_Op.195_(Raff,_Joachim)",male chorus (ttbb),,romantic,,1860–70,romantic,,1860,556
"10 Gesänge für Männerchor, Op.97","Raff, Joachim","https://imslp.org/wiki/10_Gesänge_für_Männerchor,_Op.97_(Raff,_Joachim)",male chorus (ttbb),,romantic,,"1853–1863, Weimar & Wiesbaden",romantic,,1853,421
10 Fugues de concert,"Cohen, Henry","https://imslp.org/wiki/10_Fugues_de_concert_(Cohen,_Henry)",piano,,romantic,,,romantic,,,693
"10 Folk Songs of Alsace, Lorraine and Champagne","Ferrari, Gustave","https://imslp.org/wiki/10_Folk_Songs_of_Alsace,_Lorraine_and_Champagne_(Ferrari,_Gustave)","piano (arranged), voice",,classical,,,early 20th century,,,69
"10 Fugues, Op.76","Fuchs, Robert","https://imslp.org/wiki/10_Fugues,_Op.76_(Fuchs,_Robert)",piano,,romantic,,1904,romantic,,1904,115
"10 Gesänge für Männerchor, Op.122","Raff, Joachim","https://imslp.org/wiki/10_Gesänge_für_Männerchor,_Op.122_(Raff,_Joachim)",male chorus (ttbb),,romantic,,1853–63,romantic,,1853,293
"10 Gesänge, Op.83","Reger, Max","https://imslp.org/wiki/10_Gesänge,_Op.83_(Reger,_Max)",male choir a capella,,romantic,,1904-1912,romantic,,1904,1630
"10 Grosse Etüden, Op.9","Huber, Hans","https://imslp.org/wiki/10_Grosse_Etüden,_Op.9_(Huber,_Hans)",piano,,romantic,,1874 September (preface by the composer) or earlier,romantic,,1874,977
"10 Harpsichord Sonatas, D-B Mus.ms.18165","Reggio, Antonino","https://imslp.org/wiki/10_Harpsichord_Sonatas,_D-B_Mus.ms.18165_(Reggio,_Antonino)",harpsichord,,baroque,,,baroque,,,218
10 Harpsichord Sonatas,"Pescetti, Giovanni Battista","https://imslp.org/wiki/10_Harpsichord_Sonatas_(Pescetti,_Giovanni_Battista)",harpsichord,see below,classical,,,classical,,,2552
10 Grandes Fantasies Concertantes for 2 Pianos,"Czerny, Carl","https://imslp.org/wiki/10_Grandes_Fantasies_Concertantes_for_2_Pianos_(Czerny,_Carl)",2 pianos,,romantic,,,romantic,,,50
"10 Grandes fantaisies concertantes, Op.797","Czerny, Carl","https://imslp.org/wiki/10_Grandes_fantaisies_concertantes,_Op.797_(Czerny,_Carl)",2 pianos,,romantic,,,romantic,,,50
10 Glasses,"Zagny, Sergei","https://imslp.org/wiki/10_Glasses_(Zagny,_Sergei)",piano,,modern,,1989-2022,modern,,1989,161
"10 Hymn Preludes Set I, HWC 169","Willan, Healey","https://imslp.org/wiki/10_Hymn_Preludes_Set_I,_HWC_169_(Willan,_Healey)",organ,,early 20th century,,,early 20th century,,,0
10 Geuzenliederen voor gemengd koor,"Tinel, Jef","https://imslp.org/wiki/10_Geuzenliederen_voor_gemengd_koor_(Tinel,_Jef)",mixed choir satb,,early 20th century,,1935,modern,,1935,1668
"10 Hymn Preludes Set III, HWC 174","Willan, Healey","https://imslp.org/wiki/10_Hymn_Preludes_Set_III,_HWC_174_(Willan,_Healey)",organ,,early 20th century,,,early 20th century,,,0
"10 Hymn Preludes Set II, HWC 173","Willan, Healey","https://imslp.org/wiki/10_Hymn_Preludes_Set_II,_HWC_173_(Willan,_Healey)",organ,,early 20th century,,,early 20th century,,,0
"10 Improvisations, FP 63","Poulenc, Francis","https://imslp.org/wiki/10_Improvisations,_FP_63_(Poulenc,_Francis)",piano,Various,early 20th century,,1932-34,early 20th century,,1932,0
10 Hymn Tune Voluntaries,"Coleman, Henry","https://imslp.org/wiki/10_Hymn_Tune_Voluntaries_(Coleman,_Henry)",organ,,early 20th century,,"Peterborough, Sept. 1933",early 20th century,,1933,0
"10 Intermezzi, Op.124","Stöhr, Richard","https://imslp.org/wiki/10_Intermezzi,_Op.124_(Stöhr,_Richard)","2 violins, cello, viola",,early 20th century,,1948,early 20th century,,1948,393
10 Hymn Tune Voluntaries,"Coleman, Richard Henry Pinwill","https://imslp.org/wiki/10_Hymn_Tune_Voluntaries_(Coleman,_Richard_Henry_Pinwill)",organ,,early 20th century,,"Peterborough, Sept. 1933",early 20th century,,1933,0
"10 Housman Songs, Op.137","Noakes, Tony","https://imslp.org/wiki/10_Housman_Songs,_Op.137_(Noakes,_Tony)","piano, voice",,modern,,2016-18,modern,15,2016,16
10 Impressions for Piano,"Frontini, Francesco Paolo","https://imslp.org/wiki/10_Impressions_for_Piano_(Frontini,_Francesco_Paolo)",piano,,romantic,,1914,romantic,,1914,54
"10 Historiettes, Op.70","Schytte, Ludvig","https://imslp.org/wiki/10_Historiettes,_Op.70_(Schytte,_Ludvig)",piano,,romantic,,,romantic,,,1344
10 Inventions for Flute and Clarinet,"Reimer-Watts, Keenan","https://imslp.org/wiki/10_Inventions_for_Flute_and_Clarinet_(Reimer-Watts,_Keenan)","clarinet, flute",,modern,,2013,modern,13,2013,6071
"10 Inventions, Op.41b","Durey, Louis","https://imslp.org/wiki/10_Inventions,_Op.41b_(Durey,_Louis)",piano,,early 20th century,,1924-25,early 20th century,,1924,21
"10 Inventions, Op.10","Bonporti, Francesco Antonio","https://imslp.org/wiki/10_Inventions,_Op.10_(Bonporti,_Francesco_Antonio)","continuo, violin",,baroque,,,baroque,,,27127
10 Jewish Folksongs,"Engel, Joel","https://imslp.org/wiki/10_Jewish_Folksongs_(Engel,_Joel)",piano (arranged),,traditional (folk),,,romantic,,,367
10 Keyboard Pieces from the Bauyn Manuscript,Anonymous,https://imslp.org/wiki/10_Keyboard_Pieces_from_the_Bauyn_Manuscript_(Anonymous),keyboard (organ or harpsichord),,baroque,,,,,,15356
10 Keyboard Sonatas,"Scarlatti, Domenico","https://imslp.org/wiki/10_Keyboard_Sonatas_(Scarlatti,_Domenico)",keyboard,,baroque,,,baroque,,,998
10 Jugendlieder,"Reger, Max","https://imslp.org/wiki/10_Jugendlieder_(Reger,_Max)","piano, voice",,romantic,,1888 (?) - 93,romantic,,1888,0
"10 Keyboard Sonatas, Op.1","Burton, John","https://imslp.org/wiki/10_Keyboard_Sonatas,_Op.1_(Burton,_John)","harpsichord, organ or piano",,baroque,,,classical,,,1943
10 Keyboard Studies,"Hedien, Mark","https://imslp.org/wiki/10_Keyboard_Studies_(Hedien,_Mark)",keyboard (preferably harpsichord),,classical,,,modern,,,977
"10 Kinderlieder, Op.107","Abt, Franz","https://imslp.org/wiki/10_Kinderlieder,_Op.107_(Abt,_Franz)","piano, voice",,romantic,,,romantic,,,34
"10 Italian Ariettes and a Duet, Op.10","Lanza, Francesco Giuseppe","https://imslp.org/wiki/10_Italian_Ariettes_and_a_Duet,_Op.10_(Lanza,_Francesco_Giuseppe)","1-2 voices, harp or piano",,classical,,,classical,,,24
"10 Keyboard Sonatinas, F.238","Zhang, Zhichong","https://imslp.org/wiki/10_Keyboard_Sonatinas,_F.238_(Zhang,_Zhichong)",keyboard,,baroque,,2025,modern,,2025,28
"10 Klavier-Etüden, Op.209","Köhler, Louis","https://imslp.org/wiki/10_Klavier-Etüden,_Op.209_(Köhler,_Louis)",piano,,romantic,,1872 ca.,romantic,,1872,919
