Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration
3 Duos faciles,"Guérin, Emmanuel","https://imslp.org/wiki/3_Duos_faciles_(Guérin,_Emmanuel)",2 cellos,,Classical,,,Classical,
"3 Duos faciles et brillants, Op.243","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/3_Duos_faciles_et_brillants,_Op.243_(Kalliwoda,_Johann_Wenzel)",2 violins,,Romantic,,,Romantic,
"3 Duos faciles et concertants, Op.116","Kummer, Kaspar","https://imslp.org/wiki/3_Duos_faciles_et_concertants,_Op.116_(Kummer,_Kaspar)",2 flutes,,Romantic,,,Romantic,
"3 Duos faciles pour 2 Guitarres, Op.15","Doisy, Charles","https://imslp.org/wiki/3_Duos_faciles_pour_2_Guitarres,_Op.15_(Doisy,_Charles)",2 guitars,,Classical,,,Classical,
"3 Duos faciles, Op.10","Bessems, Antoine","https://imslp.org/wiki/3_Duos_faciles,_Op.10_(Bessems,_Antoine)",2 violins,,Romantic,,,Romantic,
"3 Duos faciles, Op.114","Dotzauer, Friedrich","https://imslp.org/wiki/3_Duos_faciles,_Op.114_(Dotzauer,_Friedrich)",2 Cellos,,Romantic,,,Romantic,
"3 Duos faciles, Op.117","Dancla, Charles","https://imslp.org/wiki/3_Duos_faciles,_Op.117_(Dancla,_Charles)","violin, cello",,Romantic,,,Romantic,
"3 Duos faciles, Op.124","Lee, Sebastian","https://imslp.org/wiki/3_Duos_faciles,_Op.124_(Lee,_Sebastian)","1 violin, 1 cello",,Romantic,,,Romantic,
"3 Duos faciles, Op.23","Alard, Jean Delphin","https://imslp.org/wiki/3_Duos_faciles,_Op.23_(Alard,_Jean_Delphin)",2 violins,,Romantic,,1851 - Mainz: Schott,Romantic,
"3 Duos for 2 Cellos, Op.165","Kummer, Friedrich August","https://imslp.org/wiki/3_Duos_for_2_Cellos,_Op.165_(Kummer,_Friedrich_August)",2 cellos,,Romantic,,,Romantic,
"3 Duos for 2 Cellos, Op.22","Grützmacher, Friedrich","https://imslp.org/wiki/3_Duos_for_2_Cellos,_Op.22_(Grützmacher,_Friedrich)",2 cellos,,Romantic,,,Romantic,
"3 Duos for 2 Cellos, Op.31","Battanchon, Félix","https://imslp.org/wiki/3_Duos_for_2_Cellos,_Op.31_(Battanchon,_Félix)",2 Cellos,,Romantic,,,Romantic,
3 Duos for 2 Flutes,"Guidolin, Arnaldo","https://imslp.org/wiki/3_Duos_for_2_Flutes_(Guidolin,_Arnaldo)",2 flutes,,Modern,,,Modern,
"3 Duos for 2 Flutes, Op.80","Kuhlau, Friedrich","https://imslp.org/wiki/3_Duos_for_2_Flutes,_Op.80_(Kuhlau,_Friedrich)",2 flutes,G major; C major; E minor,Romantic,,1826,Romantic,
"3 Duos for 2 Flutes, Op.9","Jensen, Niels Peter","https://imslp.org/wiki/3_Duos_for_2_Flutes,_Op.9_(Jensen,_Niels_Peter)",2 flutes,,Romantic,,,Romantic,
3 Duos for 2 Guitars,"Asiain, Joaquin","https://imslp.org/wiki/3_Duos_for_2_Guitars_(Asiain,_Joaquin)",2 guitars,,Classical,,,Classical,
"3 Duos for 2 Guitars, Op.104","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.104_(Carulli,_Ferdinando)",2 guitars,,Classical,,,Classical,
"3 Duos for 2 Guitars, Op.146","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.146_(Carulli,_Ferdinando)",2 guitars,,Classical,,,Classical,
"3 Duos for 2 Guitars, Op.203","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.203_(Carulli,_Ferdinando)",2 guitars,,Classical,,,Classical,
"3 Duos for 2 Guitars, Op.34","Lhoyer, Antoine de","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.34_(Lhoyer,_Antoine_de)",2 guitars,,Classical,,,Romantic,
"3 Duos for 2 Guitars, Op.38","Mertz, Johann Kaspar","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.38_(Mertz,_Johann_Kaspar)",2 guitars,,Romantic,,,Romantic,
"3 Duos for 2 Guitars, Op.62","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.62_(Carulli,_Ferdinando)",2 guitars,,Classical,,,Classical,
"3 Duos for 2 Guitars, Op.89","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Guitars,_Op.89_(Carulli,_Ferdinando)",2 guitars,,Classical,,,Classical,
3 Duos for 2 Violas,"Stamitz, Carl Philipp","https://imslp.org/wiki/3_Duos_for_2_Violas_(Stamitz,_Carl_Philipp)",2 violas,,Classical,,,Classical,
"3 Duos for 2 Violas, BI 10, 3, 14","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violas,_BI_10,_3,_14_(Rolla,_Alessandro)",2 violas,,Romantic,,,Classical,
"3 Duos for 2 Violas, Op.3","Hovhannisyan, Gor","https://imslp.org/wiki/3_Duos_for_2_Violas,_Op.3_(Hovhannisyan,_Gor)",2 violas,,Modern,,1998-2009,Modern,8-9 minutes
3 Duos for 2 Violins,"Borsani, Mosè Isidori","https://imslp.org/wiki/3_Duos_for_2_Violins_(Borsani,_Mosè_Isidori)",2 violins,,Romantic,,,Romantic,
3 Duos for 2 Violins,"Mayseder, Joseph","https://imslp.org/wiki/3_Duos_for_2_Violins_(Mayseder,_Joseph)",2 Violins,see below,Romantic,,,Romantic,
3 Duos for 2 Violins,"Mosel, Giovanni Felice","https://imslp.org/wiki/3_Duos_for_2_Violins_(Mosel,_Giovanni_Felice)",2 violins,,Classical,,,Classical,
3 Duos for 2 Violins,"Titz, Anton Ferdinand","https://imslp.org/wiki/3_Duos_for_2_Violins_(Titz,_Anton_Ferdinand)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, BI 151, 178, 207","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_BI_151,_178,_207_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, BI 159, 195, 188 (Livre III)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_BI_159,_195,_188_(Livre_III)_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Duos for 2 Violins, BI 227, 199, 166","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_BI_227,_199,_166_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, BI 232, 143, 216 (Livre I)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_BI_232,_143,_216_(Livre_I)_(Rolla,_Alessandro)",2 violins,,Classical,,1786-1802,Classical,
"3 Duos for 2 Violins, Op.1","Pontelibero, Ferdinando","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.1_(Pontelibero,_Ferdinando)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.10 (BI 182, 120, 214)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.10_(BI_182,_120,_214)_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.11","Täglichsbeck, Thomas","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.11_(Täglichsbeck,_Thomas)",2 violins,"G minor, B-flat major, G major",Romantic,,,Romantic,
"3 Duos for 2 Violins, Op.116","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.116_(Kalliwoda,_Johann_Wenzel)",2 violins,,Romantic,,,Romantic,
"3 Duos for 2 Violins, Op.143","Küffner, Joseph","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.143_(Küffner,_Joseph)",2 violins,"F major, G major, A major",Romantic,,,Classical,
"3 Duos for 2 Violins, Op.18 (BI 208, 179, 118)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.18_(BI_208,_179,_118)_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.20 (BI 206, 228, 133)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.20_(BI_206,_228,_133)_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.22 (BI 226, 177, 205)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.22_(BI_226,_177,_205)_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.25 (BI 176, 198, 132)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.25_(BI_176,_198,_132)_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.3 (BI 159, 195, 188)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.3_(BI_159,_195,_188)_(Rolla,_Alessandro)",2 violins,,Romantic,,,Classical,
"3 Duos for 2 Violins, Op.3","Spohr, Louis","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.3_(Spohr,_Louis)",2 violins,,Romantic,,,Romantic,
"3 Duos for 2 Violins, Op.37","Göpfert, Carl Andreas","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.37_(Göpfert,_Carl_Andreas)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.39","Spohr, Louis","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.39_(Spohr,_Louis)",2 violins,,Classical,,,Romantic,
"3 Duos for 2 Violins, Op.4a (BI 161, 122, 185)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.4a_(BI_161,_122,_185)_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.4b (BI 184, 160, 137)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.4b_(BI_184,_160,_137)_(Rolla,_Alessandro)",2 violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.5 (BI 231, 135, 158)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.5_(BI_231,_135,_158)_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.6 (BI 183, 121, 215)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.6_(BI_183,_121,_215)_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Duos for 2 Violins, Op.67","Spohr, Louis","https://imslp.org/wiki/3_Duos_for_2_Violins,_Op.67_(Spohr,_Louis)",2 violins,,Classical,,,Romantic,
"3 Duos for Clarinet and Bassoon, Op.21","Tausch, Franz","https://imslp.org/wiki/3_Duos_for_Clarinet_and_Bassoon,_Op.21_(Tausch,_Franz)","clarinet, bassoon",,Classical,,,Classical,
"3 Duos for Flute and Harp, Op.1","Peters-Rey, Gregor","https://imslp.org/wiki/3_Duos_for_Flute_and_Harp,_Op.1_(Peters-Rey,_Gregor)","flute, harp",,Modern,,1984,Modern,
"3 Duos for Flute and Violin, B.5408","Pleyel, Ignaz","https://imslp.org/wiki/3_Duos_for_Flute_and_Violin,_B.5408_(Pleyel,_Ignaz)",flute and violin or 2 violins,see below,Classical,,,Classical,
"3 Duos for Flute and Violin, BI 247, 251, 252","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Flute_and_Violin,_BI_247,_251,_252_(Rolla,_Alessandro)","flute, violin",,Romantic,,,Classical,
"3 Duos for Flute and Violin, BI 249, 253, 255","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Flute_and_Violin,_BI_249,_253,_255_(Rolla,_Alessandro)","flute, violin",,Classical,,,Classical,
"3 Duos for Guitar and Flute or Violin, Op.16","Molino, Francesco","https://imslp.org/wiki/3_Duos_for_Guitar_and_Flute_or_Violin,_Op.16_(Molino,_Francesco)","flute (or violin), guitar",,Classical,,,Romantic,
"3 Duos for Guitar and Flute or Violin, Op.61","Molino, Francesco","https://imslp.org/wiki/3_Duos_for_Guitar_and_Flute_or_Violin,_Op.61_(Molino,_Francesco)","flute (or violin), guitar",,Classical,,,Romantic,
"3 Duos for Guitar and Piano, Op.69","Amon, Johann Andreas","https://imslp.org/wiki/3_Duos_for_Guitar_and_Piano,_Op.69_(Amon,_Johann_Andreas)","guitar, piano",,Classical,,,Classical,
"3 Duos for Guitar and Violin, Op.10","Molino, Francesco","https://imslp.org/wiki/3_Duos_for_Guitar_and_Violin,_Op.10_(Molino,_Francesco)","violin, guitar",,Classical,,,Romantic,
"3 Duos for Guitar and Violin, Op.202","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_Guitar_and_Violin,_Op.202_(Carulli,_Ferdinando)","violin, guitar",,Classical,,,Classical,
"3 Duos for Guitar and Violin, Op.3","Molino, Francesco","https://imslp.org/wiki/3_Duos_for_Guitar_and_Violin,_Op.3_(Molino,_Francesco)","violin, guitar",,Classical,,,Romantic,
"3 Duos for Harp and Piano, Op.51","Naderman, François-Joseph","https://imslp.org/wiki/3_Duos_for_Harp_and_Piano,_Op.51_(Naderman,_François-Joseph)","harp, piano",,Classical,,,Classical,
"3 Duos for Violin and Cello, BI 244, 242, 243","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_BI_244,_242,_243_(Rolla,_Alessandro)","violin, cello",,Classical,,,Classical,
"3 Duos for Violin and Cello, Book 3","Bohrer, Antoine","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Book_3_(Bohrer,_Antoine)","violin, cello",,Classical,,,Romantic,
"3 Duos for Violin and Cello, Op.1","Cirri, Giovanni Battista","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.1_(Cirri,_Giovanni_Battista)","violin, cello",,Classical,,,Classical,
"3 Duos for Violin and Cello, Op.1","Nicolai, Johann Gottlieb","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.1_(Nicolai,_Johann_Gottlieb)","violin, cello",,Classical,,,Classical,
"3 Duos for Violin and Cello, Op.15","Kummer, Friedrich August","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.15_(Kummer,_Friedrich_August)","violin, cello",,Romantic,,,Romantic,
"3 Duos for Violin and Cello, Op.2","Romberg, Andreas","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.2_(Romberg,_Andreas)","violin, cello",,Romantic,,,Classical,
"3 Duos for Violin and Cello, Op.2","Romberg, Bernhard","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.2_(Romberg,_Bernhard)","violin, cello",,Classical,,,Classical,
"3 Duos for Violin and Cello, Op.3","Romberg, Bernhard","https://imslp.org/wiki/3_Duos_for_Violin_and_Cello,_Op.3_(Romberg,_Bernhard)","violin, cello",,Classical,,,Classical,
"3 Duos for Violin and Guitar or Lyre, Op.22","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_Violin_and_Guitar_or_Lyre,_Op.22_(Carulli,_Ferdinando)","violin, guitar (or lyre-guitar)",,Classical,,,Classical,
"3 Duos for Violin and Guitar, Op.4","Carulli, Ferdinando","https://imslp.org/wiki/3_Duos_for_Violin_and_Guitar,_Op.4_(Carulli,_Ferdinando)","violin, guitar",see below,Classical,,,Classical,
3 Duos for Violin and Viola,"Aliani, Nicola","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola_(Aliani,_Nicola)","violin, viola",,Classical,,,Classical,
3 Duos for Violin and Viola,"Stamitz, Carl Philipp","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola_(Stamitz,_Carl_Philipp)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, B.526-528","Pleyel, Ignaz","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_B.526-528_(Pleyel,_Ignaz)","violin, viola",see below,Classical,,,Classical,
"3 Duos for Violin and Viola, B.529-531","Pleyel, Ignaz","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_B.529-531_(Pleyel,_Ignaz)","violin, viola (or 2 violins)",see below,Classical,,1795-96,Classical,
"3 Duos for Violin and Viola, Op.10 (BI 59, 48, 82)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.10_(BI_59,_48,_82)_(Rolla,_Alessandro)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.15 (BI 54, 34, 93)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.15_(BI_54,_34,_93)_(Rolla,_Alessandro)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.18 (BI 95, 71, 45)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.18_(BI_95,_71,_45)_(Rolla,_Alessandro)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.1a (BI 108, 97, 92)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.1a_(BI_108,_97,_92)_(Rolla,_Alessandro)","violin, viola",,Classical,,1795 or before,Classical,
"3 Duos for Violin and Viola, Op.2 (BI 87, 39, 78)","Rolla, Alessandro","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.2_(BI_87,_39,_78)_(Rolla,_Alessandro)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.26","Hänsel, Peter","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.26_(Hänsel,_Peter)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.6","Barmann, Johann Friedrich","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.6_(Barmann,_Johann_Friedrich)","violin, viola",,Classical,,,Classical,
"3 Duos for Violin and Viola, Op.7","Barmann, Johann Friedrich","https://imslp.org/wiki/3_Duos_for_Violin_and_Viola,_Op.7_(Barmann,_Johann_Friedrich)","violin, viola",,Classical,,,Classical,
3 Duos formés d'airs,"Doisy, Charles","https://imslp.org/wiki/3_Duos_formés_d'airs_(Doisy,_Charles)",2 guitars,,Classical,,,Classical,
3 Duos für Gitarre und Violine,"Doisy, Charles","https://imslp.org/wiki/3_Duos_für_Gitarre_und_Violine_(Doisy,_Charles)","violin, guitar",,Classical,,,Classical,
"3 Duos on Motives from Richard Wagner's Operas, Op.63","Raff, Joachim","https://imslp.org/wiki/3_Duos_on_Motives_from_Richard_Wagner's_Operas,_Op.63_(Raff,_Joachim)","violin, piano",,Romantic,,1851,Romantic,
3 Duos pour Guitarre & Violon,"Doisy, Charles","https://imslp.org/wiki/3_Duos_pour_Guitarre_&_Violon_(Doisy,_Charles)","violin, guitar",,Classical,,,Classical,
"3 Duos pour le Forté-Piano et Clavecin, Op.14","Rigel, Henri Joseph","https://imslp.org/wiki/3_Duos_pour_le_Forté-Piano_et_Clavecin,_Op.14_(Rigel,_Henri_Joseph)","piano, harpsichord; or: piano, 2 violins and cello (strings instead of harpsichord)",,Classical,,,Classical,
"3 Duos progressifs, Op.62","Mazas, Jacques Féréol","https://imslp.org/wiki/3_Duos_progressifs,_Op.62_(Mazas,_Jacques_Féréol)",2 violins,,Romantic,,,Classical,
"3 Duos sur 'La révolte au sérail', Op.67","Labarre, Théodore","https://imslp.org/wiki/3_Duos_sur_'La_révolte_au_sérail',_Op.67_(Labarre,_Théodore)","harp, piano",,Romantic,,,Romantic,
3 Duos sur les motifs favoris de 'Lucia di Lamermoor',"Bochsa, Nicholas Charles","https://imslp.org/wiki/3_Duos_sur_les_motifs_favoris_de_'Lucia_di_Lamermoor'_(Bochsa,_Nicholas_Charles)","harp, piano",,Romantic,,,Romantic,
3 Duos à violon seul,"Mathieu, Julien Amable","https://imslp.org/wiki/3_Duos_à_violon_seul_(Mathieu,_Julien_Amable)",violin solo,,Classical,,,Classical,
"3 Duos, Canons und Fugen im alten Stil, Op.131b","Reger, Max","https://imslp.org/wiki/3_Duos,_Canons_und_Fugen_im_alten_Stil,_Op.131b_(Reger,_Max)",2 violins,,Romantic,,,Romantic,
"3 Duos, Op.1","Mussini, Nicola Natale","https://imslp.org/wiki/3_Duos,_Op.1_(Mussini,_Nicola_Natale)",2 violins,,Classical,,,Classical,
"3 Duos, Op.124","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.124_(Dancla,_Charles)",violin piano,,Romantic,,,Romantic,
"3 Duos, Op.136","Schmitt, Florent","https://imslp.org/wiki/3_Duos,_Op.136_(Schmitt,_Florent)","voice, piano",,Modern,,1957,Early 20th century,
"3 Duos, Op.14","Fuchs, Georg Friedrich","https://imslp.org/wiki/3_Duos,_Op.14_(Fuchs,_Georg_Friedrich)","Clarinet (B ♭ ), violin",,Classical,,,Classical,
"3 Duos, Op.14","Tulou, Jean-Louis","https://imslp.org/wiki/3_Duos,_Op.14_(Tulou,_Jean-Louis)",2 flutes,,Romantic,,,Romantic,
"3 Duos, Op.15","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.15_(Dancla,_Charles)",2 violins,,Romantic,,,Romantic,
"3 Duos, Op.15","Dotzauer, Friedrich","https://imslp.org/wiki/3_Duos,_Op.15_(Dotzauer,_Friedrich)",2 cellos,,Romantic,,,Romantic,
"3 Duos, Op.15","Fuchs, Georg Friedrich","https://imslp.org/wiki/3_Duos,_Op.15_(Fuchs,_Georg_Friedrich)","Clarinet (B ♭ ), violin",,Classical,,,Classical,
"3 Duos, Op.19","Fuchs, Georg Friedrich","https://imslp.org/wiki/3_Duos,_Op.19_(Fuchs,_Georg_Friedrich)","Flute, clarinet (C)",,Classical,,,Classical,
"3 Duos, Op.20","Henry, Bonaventure","https://imslp.org/wiki/3_Duos,_Op.20_(Henry,_Bonaventure)","flute (or violin), guitar",,Classical,,,Classical,
"3 Duos, Op.23","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.23_(Dancla,_Charles)",2 violins,,Romantic,,,Romantic,
"3 Duos, Op.24","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.24_(Dancla,_Charles)",2 Violins,see below,Romantic,,,Romantic,
"3 Duos, Op.25","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.25_(Dancla,_Charles)",2 violins,,Romantic,,,Romantic,
"3 Duos, Op.3","Aubert, Pierre François Olivier","https://imslp.org/wiki/3_Duos,_Op.3_(Aubert,_Pierre_François_Olivier)",2 violins or cellos,,Classical,,,Classical,
"3 Duos, Op.3","Batista, Gabriel","https://imslp.org/wiki/3_Duos,_Op.3_(Batista,_Gabriel)",2 violins,G minor,Early 20th century,,2024,Modern,3 minutes
"3 Duos, Op.30","Schneider, Georg Abraham","https://imslp.org/wiki/3_Duos,_Op.30_(Schneider,_Georg_Abraham)","viola obbligato, violin [accompanimento]",,Classical,,,Classical,
"3 Duos, Op.31","Fiorillo, Federigo","https://imslp.org/wiki/3_Duos,_Op.31_(Fiorillo,_Federigo)",violin & violoncello,,Classical,,,Classical,
"3 Duos, Op.32","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.32_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.33","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.33_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.34","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.34_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.35","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.35_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.4","Pössinger, Franz Alexander","https://imslp.org/wiki/3_Duos,_Op.4_(Pössinger,_Franz_Alexander)","violin, viola",,Classical,,,Classical,
"3 Duos, Op.55","Sor, Fernando","https://imslp.org/wiki/3_Duos,_Op.55_(Sor,_Fernando)",2 guitars,,Classical,,,Romantic,
"3 Duos, Op.57","Ghébart, Giuseppe","https://imslp.org/wiki/3_Duos,_Op.57_(Ghébart,_Giuseppe)","violin, viola",,Romantic,,,Romantic,
"3 Duos, Op.58","Ghébart, Giuseppe","https://imslp.org/wiki/3_Duos,_Op.58_(Ghébart,_Giuseppe)","violin, viola",,Romantic,,,Romantic,
"3 Duos, Op.6","Aubert, Pierre François Olivier","https://imslp.org/wiki/3_Duos,_Op.6_(Aubert,_Pierre_François_Olivier)","2 violins (or 2 cellos or violin), cello",,Classical,,,Classical,
"3 Duos, Op.60","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.60_(Dancla,_Charles)",2 Violins,,Romantic,,1853 or before,Romantic,
"3 Duos, Op.61","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.61_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.62","Dancla, Charles","https://imslp.org/wiki/3_Duos,_Op.62_(Dancla,_Charles)",2 Violins,,Romantic,,,Romantic,
"3 Duos, Op.62","Wichtl, Georg","https://imslp.org/wiki/3_Duos,_Op.62_(Wichtl,_Georg)",2 violins,,Romantic,,,Romantic,
"3 Duos, Op.7","Aubert, Pierre François Olivier","https://imslp.org/wiki/3_Duos,_Op.7_(Aubert,_Pierre_François_Olivier)","2 cellos, or violins",,Classical,,,Classical,
"3 Duos, Op.7","Laurischkus, Max","https://imslp.org/wiki/3_Duos,_Op.7_(Laurischkus,_Max)","piano, harmonium",,Romantic,,,Romantic,
"3 Duos, Op.8","Danzi, Franz","https://imslp.org/wiki/3_Duos,_Op.8_(Danzi,_Franz)","viola, cello",,Classical,,,Classical,
"3 Duos, Op.8","Thraen, Johan Peter","https://imslp.org/wiki/3_Duos,_Op.8_(Thraen,_Johan_Peter)","flute, violin",,Classical,,,Classical,
3 Early Pieces,"Franck, César","https://imslp.org/wiki/3_Early_Pieces_(Franck,_César)",piano,,Romantic,,,Romantic,
3 Early Songs,"Parker, Horatio","https://imslp.org/wiki/3_Early_Songs_(Parker,_Horatio)","voice, piano",,Romantic,,1881,Romantic,
3 Easter Pieces,"Girtain IV, Edgar","https://imslp.org/wiki/3_Easter_Pieces_(Girtain_IV,_Edgar)","horn, trumpet, trombone, organ",,Romantic,,2024,Modern,12 minutes
"3 Easy Duos for 2 Violins, BI 211, 181, 154","Rolla, Alessandro","https://imslp.org/wiki/3_Easy_Duos_for_2_Violins,_BI_211,_181,_154_(Rolla,_Alessandro)",2 Violins,,Classical,,,Classical,
"3 Easy Duos, Op.178","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/3_Easy_Duos,_Op.178_(Kalliwoda,_Johann_Wenzel)",2 violins,see below,Romantic,,,Romantic,
"3 Easy Duos, Op.179","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/3_Easy_Duos,_Op.179_(Kalliwoda,_Johann_Wenzel)",2 violins,see below,Romantic,,,Romantic,
"3 Easy Duos, Op.180","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/3_Easy_Duos,_Op.180_(Kalliwoda,_Johann_Wenzel)",2 violins,,Romantic,,,Romantic,
"3 Easy Flute Duets, Op.20","Kummer, Kaspar","https://imslp.org/wiki/3_Easy_Flute_Duets,_Op.20_(Kummer,_Kaspar)",2 flutes,,Romantic,,,Romantic,
"3 Easy Flute Duets, Op.73","Scott, Stuart","https://imslp.org/wiki/3_Easy_Flute_Duets,_Op.73_(Scott,_Stuart)",2 Flutes,,Modern,,1988,Modern,6 minutes
"3 Easy Impromptus, Op.86","Mackenzie, Alexander Campbell","https://imslp.org/wiki/3_Easy_Impromptus,_Op.86_(Mackenzie,_Alexander_Campbell)",violin and piano,,Early 20th century,,,Romantic,
